City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,ifrane,33.3333,-5.25,19.80000000000001,31,26,12.72,MA,1697720880
67,leticia,-4.2153,-69.9406,26.139999999999986,89,0,1.03,CO,1697720880
68,ancud,-41.8697,-73.8203,10.410000000000025,85,100,1.78,CL,1697720881
69,mount pearl,47.5166,-52.7813,11.339999999999975,76,40,5.66,CA,1697720881
70,vila franca do campo,37.7167,-25.4333,21.75,99,0,8.38,PT,1697720881
71,bayt kahil,31.5701,35.065,22.889999999999986,49,10,6.06,PS,1697720881
72,hirara,24.8,125.2833,26.220000000000027,64,17,2.55,JP,1697720881
73,revda,56.801,59.9303,3.1899999999999977,79,100,5.06,RU,1697720881
74,uturoa,-16.7333,-151.4333,26.04000000000002,81,15,3.54,PF,1697720881
75,chazuta,-6.5742,-76.1367,25.620000000000005,82,40,0.96,PE,1697720882
76,birjand,32.8663,59.2211,23.139999999999986,16,11,5.66,IR,1697720882
77,la passe,45.5549,-0.8967,22.279999999999973,65,95,9.97,FR,1697720882
78,invercargill,-46.4,168.35,11.269999999999982,89,88,5.81,NZ,1697720694
79,wanaraja,-7.1749,107.9808,24.560000000000002,85,84,1.03,ID,1697720882
80,port macquarie,-31.4333,152.9167,15.089999999999975,83,92,1.55,AU,1697720664
81,flying fish cove,-10.4217,105.6791,25.970000000000027,88,75,4.63,CX,1697720882
82,olonkinbyen,70.9221,-8.7187,4.079999999999984,88,100,10.77,SJ,1697720883
83,wynyard,-41.0,145.7167,12.949999999999989,78,92,1.37,AU,1697720883
84,preobrazheniye,42.9019,133.9064,9.839999999999975,53,69,2.68,RU,1697720883
85,dudinka,69.4058,86.1778,3.8600000000000136,99,100,7.6,RU,1697720883
86,am timan,11.0297,20.2827,36.829999999999984,18,28,2.1,TD,1697720883
87,keflavik,64.0049,-22.5624,11.389999999999986,82,75,19.55,IS,1697720883
88,hithadhoo,-0.6,73.0833,27.850000000000023,76,100,4.95,MV,1697720883
89,sittwe,20.15,92.9,27.25999999999999,76,4,3.69,MM,1697720884
90,hauterive,46.0901,3.4459,18.569999999999993,74,100,4.17,FR,1697720884
91,hawaiian paradise park,19.5933,-154.9731,21.839999999999975,88,0,2.06,US,1697720884
92,margaret river,-33.95,115.0667,12.720000000000027,63,40,5.34,AU,1697720884
93,potosi,-19.5836,-65.7531,7.6299999999999955,76,75,4.12,BO,1697720884
94,pozos de gamboa,22.95,-102.5667,14.089999999999975,62,100,1.87,MX,1697720884
95,udachny,66.4167,112.4,-11.800000000000011,96,44,2.16,RU,1697720884
96,okha,53.5739,142.9478,3.269999999999982,80,33,7.98,RU,1697720885
97,enewetak,11.3474,162.3373,28.569999999999993,78,71,7.7,MH,1697720885
98,fort st. john,56.2499,-120.8529,9.439999999999998,54,36,5.4,CA,1697720885
99,masterton,-40.9597,175.6575,6.990000000000009,87,4,1.87,NZ,1697720885
100,al kharijah,25.4514,30.5464,31.24000000000001,20,34,6.14,EG,1697720885
101,codrington,-38.2667,141.9667,13.519999999999982,61,13,2.69,AU,1697720885
102,shache,38.4167,77.2406,16.610000000000014,16,100,3.74,CN,1697720885
103,sinop,41.7711,34.8709,13.389999999999986,60,7,1.85,TR,1697720886
104,northam,51.0333,-4.2167,17.589999999999975,92,99,7.52,GB,1697720886
105,alofi,-19.0595,-169.9187,23.379999999999995,71,29,9.78,NU,1697720886
106,fortuna,40.5982,-124.1573,12.660000000000025,100,100,3.09,US,1697720886
107,hinton,53.4001,-117.5857,5.550000000000011,94,48,2.58,CA,1697720886
108,poli,-3.3333,36.8,24.579999999999984,48,49,4.69,TZ,1697720886
